frame,t_lap,ocr
577,115.4,GPSSpeedkm/h 135
578,115.6,GPSSpeedkm/h 142
579,115.8,GPSSpeedkm/h 146
580,116.0,GPSSpeedkm/h 149
581,116.2,GPSSpeedkm/h 154
582,116.4,GPSSpeedkm/h 156
583,116.6,GPSSpeedkm/h 158
584,116.8,GPSSpeedkm/h 162
585,117.0,GPSSpeedkm/h 168
586,117.2,GPSSpeedkm/h 176
587,117.4,GPSSpeedkm/h 181
588,117.6,GPSSpeedkm/h 186
589,117.8,GPSSpeedkm/h 192
590,118.0,GPSSpeedkm/h 195
591,118.2,GPSSpeedkm/h 191
592,118.4,GPSSpeedkm/h 184
593,118.6,GPSSpeedkm/h 175
594,118.8,GPSSpeedkm/h 166
595,119.0,GPSSpeedkm/h 156
596,119.2,GPSSpeedkm/h 145
597,119.4,GPSSpeedkm/h 134
598,119.6,GPSSpeedkm/h 126
599,119.8,GPSSpeedkm/h 121
600,120.0,GPSSpeedkm/h 114
601,120.2,GPSSpeedkm/h 110
602,120.4,GPSSpeedkm/h 107
603,120.6,GPSSpeedkm/h 104
604,120.8,GPSSpeedkm/h 103
605,121.0,GPSSpeedkm/h 101
606,121.2,GPSSpeedkm/h 100
607,121.4,GPSSpeedkm/h 101
608,121.6,GPSSpeedkm/h 102
609,121.8,GPSSpeedkm/h 103
610,122.0,GPSSpeedkm/h 106
611,122.2,GPSSpeedkm/h 110
612,122.4,GPSSpeedkm/h 115
613,122.6,GPSSpeedkm/h 121
614,122.8,GPSSpeedkm/h 126
615,123.0,GPSSpeedkm/h 133
616,123.2,GPSSpeedkm/h 138
617,123.4,GPSSpeedkm/h 143
618,123.6,GPSSpeedkm/h 150
619,123.8,GPSSpeedkm/h 155
620,124.0,GPSSpeedkm/h 163
621,124.2,GPSSpeedkm/h 170
622,124.4,GPSSpeedkm/h 177
623,124.6,GPSSpeedkm/h 184
624,124.8,GPSSpeedkm/h 189
625,125.0,GPSSpeedkm/h 195
626,125.2,GPSSpeedkm/h 199
627,125.4,GPSSpeedkm/h 200
628,125.6,GPSSpeedkm/h 196
629,125.8,GPSSpeedkm/h 190
630,126.0,GPSSpeedkm/h 185
631,126.2,GPSSpeedkm/h 182
632,126.4,GPSSpeedkm/h 179
633,126.6,GPSSpeedkm/h 178
634,126.8,GPSSpeedkm/h 178
635,127.0,GPSSpeedkm/h 177
